RecipeIntent whats the recipe for {stone | Item}
RecipeIntent what do I need to have to make a {red wool | Item}
RecipeIntent what do I need to have to build a {black wool | Item}
RecipeIntent what do I need to have to craft a {dandelion | Item}
RecipeIntent what do I need to have to make a {yellow flower | Item}
RecipeIntent what do I need to have to build a {poppy | Item}
RecipeIntent what do I need to get to craft {red flower | Item}
RecipeIntent what do I need to get to make {brown mushroom | Item}
RecipeIntent what do I need to get to build {red mushroom | Item}
RecipeIntent what do I need to get to craft a {gold block | Item}
RecipeIntent what do I need to get to make an {iron block | Item}
RecipeIntent what do I need to get to build a {stone slab | Item}
RecipeIntent what do I need to get to craft a {sandstone slab | Item}
RecipeIntent what do I need to get to make a {wooden slab | Item}
RecipeIntent what do I need to get to build a {cobblestone slab | Item}
RecipeIntent how can I craft {brick slab | Item}
RecipeIntent how can I make {stone brick slab | Item}
RecipeIntent how can I build {nether brick slab | Item}
RecipeIntent how do I craft {quartz slab | Item}
RecipeIntent how do I make {bricks | Item}
RecipeIntent how do I build {brick | Item}
RecipeIntent how can I craft a {brick block | Item}
RecipeIntent how can I make a {tnt | Item}
RecipeIntent how can I build a {t.n.t | Item}
RecipeIntent how do I craft a {bookshelf | Item}
RecipeIntent how do I make a {moss stone | Item}
RecipeIntent how do I build a {mossy stone | Item}
RecipeIntent how can I craft a {mossy cobblestone | Item}
RecipeIntent how can I make an {obsidian | Item}
RecipeIntent how can I build a {torch | Item}
RecipeIntent how do I craft a {monster spawner | Item}
RecipeIntent how do I make an {oak wood stairs | Item}
RecipeIntent how do I build a {chest | Item}
RecipeIntent how can you craft {redstone wire | Item}
RecipeIntent how can you make {diamond ore | Item}
RecipeIntent how can you build {diamond block | Item}
RecipeIntent how do you craft {crafting table | Item}
RecipeIntent how do you make {crafting bench | Item}
RecipeIntent how do you build {workbench | Item}
RecipeIntent how can you craft a {stairs | Item}
RecipeIntent how can you make a {wheat | Item}
RecipeIntent how can you build a {wheat crops | Item}
RecipeIntent how do you craft a {farmland | Item}
RecipeIntent how do you make a {furnace | Item}
RecipeIntent how do you build a {sign | Item}
RecipeIntent how can you craft an {oak door | Item}
RecipeIntent how can you make a {door | Item}
RecipeIntent how can you build a {ladder | Item}
RecipeIntent how do you craft a {rail | Item}
RecipeIntent how do you make a {cobblestone stairs | Item}
RecipeIntent how do you build a {lever | Item}
RecipeIntent whats the recipe for {stone pressure plate | Item}
RecipeIntent whats the recipe for a {pressure plate | Item}
RecipeIntent whats the recipe for an {iron door | Item}
RecipeIntent what is the recipe for {wooden pressure plate | Item}
RecipeIntent what is the recipe for a {redstone | Item}
RecipeIntent what is the recipe for a {redstone ore | Item}
RecipeIntent recipe for {redstone ore block | Item}
RecipeIntent recipe for a {redstone torch | Item}
RecipeIntent recipe for a {stone button | Item}
RecipeIntent recipes for {button | Item}
RecipeIntent recipes for a {snow | Item}
RecipeIntent recipes for an {ice | Item}
RecipeIntent what is in {snow block | Item}
RecipeIntent what is in a {cactus | Item}
RecipeIntent what is in a {clay | Item}
RecipeIntent whats in {clay block | Item}
RecipeIntent whats in a {sugar cane | Item}
RecipeIntent whats in an {oak fence | Item}
RecipeIntent what are the ingredients for {fence | Item}
RecipeIntent what are the ingredients for a {pumpkin | Item}
RecipeIntent what are the ingredients for a {netherrack | Item}
RecipeIntent how is {soul sand | Item} built
RecipeIntent how is a {glowstone | Item} built
RecipeIntent how is a {jack o'lantern | Item} built
RecipeIntent how is {redstone repeater | Item} made
RecipeIntent how is a {white stained glass | Item} made
RecipeIntent how is an {orange stained glass | Item} made
RecipeIntent how is {magenta stained glass | Item} crafted
RecipeIntent how is a {light blue stained glass | Item} crafted
RecipeIntent how is a {yellow stained glass | Item} crafted
RecipeIntent what do I need for {lime stained glass | Item}
RecipeIntent what do I need for a {pink stained glass | Item}
RecipeIntent what do I need for a {gray stained glass | Item}
RecipeIntent what do you need for {light gray stained glass | Item}
RecipeIntent what do you need for a {cyan stained glass | Item}
RecipeIntent what do you need for a {purple stained glass | Item}
RecipeIntent what do I need to get for {blue stained glass | Item}
RecipeIntent what do I need to get for a {brown stained glass | Item}
RecipeIntent what do I need to get for a {green stained glass | Item}
RecipeIntent how can I get {red stained glass | Item}
RecipeIntent how do I get {black stained glass | Item}
RecipeIntent how can I get a {wooden trapdoor | Item}
RecipeIntent how do I get a {trapdoor | Item}
RecipeIntent how can I get a {mossy stone brick | Item}
RecipeIntent how do I get an {iron bars | Item}
RecipeIntent how can you get {glass pane | Item}
RecipeIntent how do you get {melon | Item}
RecipeIntent how can you get a {watermelon | Item}
RecipeIntent how do you get a {vines | Item}
RecipeIntent how can you get an {oak fence gate | Item}
RecipeIntent how do you get a {fence gate | Item}
RecipeIntent what do I need to craft {brick stairs | Item}
RecipeIntent what do I need to make {stone brick stairs | Item}
RecipeIntent what do I need to build {lily pad | Item}
RecipeIntent what do I need to craft a {nether brick fence | Item}
RecipeIntent what do I need to make a {nether brick stairs | Item}
RecipeIntent what do I need to build a {nether wart | Item}
RecipeIntent what do I need to craft an {enchantment table | Item}
RecipeIntent what do I need to make an {enchanting table | Item}
RecipeIntent what do I need to build a {brewing stand | Item}
RecipeIntent what ingredients do I need to craft {cauldron | Item}
RecipeIntent what ingredients do I need to make {end stone | Item}
RecipeIntent what ingredients do I need to build {redstone lamp | Item}
RecipeIntent what ingredients do I need to craft an {oak wood slab | Item}
RecipeIntent what ingredients do I need to make a {spruce wood slab | Item}
RecipeIntent what ingredients do I need to build a {birch wood slab | Item}
RecipeIntent what ingredients do I need to craft a {jungle wood slab | Item}
RecipeIntent what ingredients do I need to make an {acacia wood slab | Item}
RecipeIntent what ingredients do I need to build a {dark oak wood slab | Item}
RecipeIntent what do I need to have to craft {sandstone stairs | Item}
RecipeIntent what do I need to have to make {emerald ore | Item}
RecipeIntent what do I need to have to build {emerald | Item}
RecipeIntent what do I need to have to craft an {ender chest | Item}
RecipeIntent what do I need to have to make a {tripwire hook | Item}
RecipeIntent what do I need to have to build a {tripwire | Item}
RecipeIntent what do I need to have to craft an {emerald block | Item}
RecipeIntent what do I need to have to make a {spruce wood stairs | Item}
RecipeIntent what do I need to have to build a {birch wood stairs | Item}
RecipeIntent what do I need to get to craft {jungle wood stairs | Item}
RecipeIntent what do I need to get to make {command block | Item}
RecipeIntent what do I need to get to build {beacon | Item}
RecipeIntent what do I need to get to craft a {cobblestone wall | Item}
RecipeIntent what do I need to get to make a {mossy cobblestone wall | Item}
RecipeIntent what do I need to get to build a {flower pot | Item}
RecipeIntent what do I need to get to craft a {wooden button | Item}
RecipeIntent what do I need to get to make an {anvil | Item}
RecipeIntent what do I need to get to build a {trapped chest | Item}
RecipeIntent how can I craft {daylight sensor | Item}
RecipeIntent how can I make {redstone block | Item}
RecipeIntent how can I build {nether quartz ore | Item}
RecipeIntent how do I craft {hopper | Item}
RecipeIntent how do I make {quartz block | Item}
RecipeIntent how do I build {chiseled quartz block | Item}
RecipeIntent how can I craft a {pillar quartz block | Item}
RecipeIntent how can I make a {quartz stairs | Item}
RecipeIntent how can I build an {activator rail | Item}
RecipeIntent how do I craft a {dropper | Item}
RecipeIntent how do I make a {white stained clay | Item}
RecipeIntent how do I build an {orange stained clay | Item}
RecipeIntent how can I craft a {magenta stained clay | Item}
RecipeIntent how can I make a {light blue stained clay | Item}
RecipeIntent how can I build a {yellow stained clay | Item}
RecipeIntent how do I craft a {lime stained clay | Item}
RecipeIntent how do I make a {pink stained clay | Item}
RecipeIntent how do I build a {gray stained clay | Item}
RecipeIntent how can you craft {light gray stained clay | Item}
RecipeIntent how can you make {cyan stained clay | Item}
RecipeIntent how can you build {purple stained clay | Item}
RecipeIntent how do you craft {blue stained clay | Item}
RecipeIntent how do you make {brown stained clay | Item}
RecipeIntent how do you build {green stained clay | Item}
RecipeIntent how can you craft a {red stained clay | Item}
RecipeIntent how can you make a {black stained clay | Item}
RecipeIntent how can you build a {white stained glass pane | Item}
RecipeIntent how do you craft an {orange stained glass pane | Item}
RecipeIntent how do you make a {magenta stained glass pane | Item}
RecipeIntent how do you build a {light blue stained glass pane | Item}
RecipeIntent how can you craft a {yellow stained glass pane | Item}
RecipeIntent how can you make a {lime stained glass pane | Item}
RecipeIntent how can you build a {pink stained glass pane | Item}
RecipeIntent how do you craft a {gray stained glass pane | Item}
RecipeIntent how do you make a {light gray stained glass pane | Item}
RecipeIntent how do you build a {cyan stained glass pane | Item}
RecipeIntent whats the recipe for {purple stained glass pane | Item}
RecipeIntent whats the recipe for a {blue stained glass pane | Item}
RecipeIntent whats the recipe for a {brown stained glass pane | Item}
RecipeIntent what is the recipe for {green stained glass pane | Item}
RecipeIntent what is the recipe for a {red stained glass pane | Item}
RecipeIntent what is the recipe for a {black stained glass pane | Item}
RecipeIntent recipe for {acacia leaves | Item}
RecipeIntent recipe for a {dark oak leaves | Item}
RecipeIntent recipe for an {acacia wood | Item}
RecipeIntent recipes for {dark oak wood | Item}
RecipeIntent recipes for an {acacia wood stairs | Item}
RecipeIntent recipes for a {dark oak wood stairs | Item}
RecipeIntent what is in {slime block | Item}
RecipeIntent what is in an {iron trapdoor | Item}
RecipeIntent what is in a {prismarine | Item}
RecipeIntent whats in {prismarine bricks | Item}
RecipeIntent whats in a {dark prismarine | Item}
RecipeIntent whats in a {sea lantern | Item}
RecipeIntent what are the ingredients for {hay bale | Item}
RecipeIntent what are the ingredients for a {white carpet | Item}
RecipeIntent what are the ingredients for an {orange carpet | Item}
RecipeIntent how is {magenta carpet | Item} built
RecipeIntent how is a {light blue carpet | Item} built
RecipeIntent how is a {yellow carpet | Item} built
RecipeIntent how is {lime carpet | Item} made
RecipeIntent how is a {pink carpet | Item} made
RecipeIntent how is a {gray carpet | Item} made
RecipeIntent how is {light gray carpet | Item} crafted
RecipeIntent how is a {cyan carpet | Item} crafted
RecipeIntent how is a {purple carpet | Item} crafted
RecipeIntent what do I need for {blue carpet | Item}
RecipeIntent what do I need for a {brown carpet | Item}
RecipeIntent what do I need for a {green carpet | Item}
RecipeIntent what do you need for {red carpet | Item}
RecipeIntent what do you need for a {black carpet | Item}
RecipeIntent what do you need for a {hardened clay | Item}
RecipeIntent what do I need to get for {block of coal | Item}
RecipeIntent what do I need to get for a {packed ice | Item}
RecipeIntent what do I need to get for a {large fern | Item}
RecipeIntent how can I get {inverted daylight sensor | Item}
RecipeIntent how do I get {red sandstone | Item}
RecipeIntent how can I get a {smooth red sandstone | Item}
RecipeIntent how do I get a {chiseled red sandstone | Item}
RecipeIntent how can I get a {red sandstone stairs | Item}
RecipeIntent how do I get a {red sandstone slab | Item}
RecipeIntent how can you get {spruce fence gate | Item}
RecipeIntent how do you get {birch fence gate | Item}
RecipeIntent how can you get a {jungle fence gate | Item}
RecipeIntent how do you get a {dark oak fence gate | Item}
RecipeIntent how can you get an {acacia fence gate | Item}
RecipeIntent how do you get a {spruce fence | Item}
RecipeIntent what do I need to craft {birch fence | Item}
RecipeIntent what do I need to make {jungle fence | Item}
RecipeIntent what do I need to build {dark oak fence | Item}
RecipeIntent what do I need to craft an {acacia fence | Item}
RecipeIntent what do I need to make an {iron shovel | Item}
RecipeIntent what do I need to build an {iron pickaxe | Item}
RecipeIntent what do I need to craft an {iron axe | Item}
RecipeIntent what do I need to make a {flint and steel | Item}
RecipeIntent what do I need to build an {apple | Item}
RecipeIntent what ingredients do I need to craft {bow | Item}
RecipeIntent what ingredients do I need to make {arrow | Item}
RecipeIntent what ingredients do I need to build {charcoal | Item}
RecipeIntent what ingredients do I need to craft a {diamond | Item}
RecipeIntent what ingredients do I need to make an {iron ingot | Item}
RecipeIntent what ingredients do I need to build a {gold ingot | Item}
RecipeIntent what ingredients do I need to craft an {iron sword | Item}
RecipeIntent what ingredients do I need to make a {wooden sword | Item}
RecipeIntent what ingredients do I need to build a {wooden shovel | Item}
RecipeIntent what do I need to have to craft {wooden pickaxe | Item}
RecipeIntent what do I need to have to make {wooden axe | Item}
RecipeIntent what do I need to have to build {stone sword | Item}
RecipeIntent what do I need to have to craft a {stone shovel | Item}
RecipeIntent what do I need to have to make a {stone pickaxe | Item}
RecipeIntent what do I need to have to build a {stone axe | Item}
RecipeIntent what do I need to have to craft a {diamond sword | Item}
RecipeIntent what do I need to have to make a {diamond shovel | Item}
RecipeIntent what do I need to have to build a {diamond pickaxe | Item}
RecipeIntent what do I need to get to craft {diamond axe | Item}
RecipeIntent what do I need to get to make {stick | Item}
RecipeIntent what do I need to get to build {bowl | Item}
RecipeIntent what do I need to get to craft a {mushroom stew | Item}
RecipeIntent what do I need to get to make a {golden sword | Item}
RecipeIntent what do I need to get to build a {golden shovel | Item}
RecipeIntent what do I need to get to craft a {golden pickaxe | Item}
RecipeIntent what do I need to get to make a {golden axe | Item}
RecipeIntent what do I need to get to build a {string | Item}
RecipeIntent how can I craft {feather | Item}
RecipeIntent how can I make {gunpowder | Item}
RecipeIntent how can I build {wooden hoe | Item}
RecipeIntent how do I craft {stone hoe | Item}
RecipeIntent how do I make {iron hoe | Item}
RecipeIntent how do I build {diamond hoe | Item}
RecipeIntent how can I craft a {golden hoe | Item}
RecipeIntent how can I make a {wheat seeds | Item}
RecipeIntent how can I build a {seeds | Item}
RecipeIntent how do I craft a {bread | Item}
RecipeIntent how do I make a {leather helmet | Item}
RecipeIntent how do I build a {leather tunic | Item}
RecipeIntent how can I craft a {leather pants | Item}
RecipeIntent how can I make a {leather boots | Item}
RecipeIntent how can I build a {chainmail helmet | Item}
RecipeIntent how do I craft a {chainmail chestplate | Item}
RecipeIntent how do I make a {chainmail leggings | Item}
RecipeIntent how do I build a {chainmail boots | Item}
RecipeIntent how can you craft {iron helmet | Item}
RecipeIntent how can you make {iron chestplate | Item}
RecipeIntent how can you build {iron leggings | Item}
RecipeIntent how do you craft {iron boots | Item}
RecipeIntent how do you make {diamond helmet | Item}
RecipeIntent how do you build {diamond chestplate | Item}
RecipeIntent how can you craft a {diamond leggings | Item}
RecipeIntent how can you make a {diamond boots | Item}
RecipeIntent how can you build a {golden helmet | Item}
RecipeIntent how do you craft a {golden chestplate | Item}
RecipeIntent how do you make a {golden leggings | Item}
RecipeIntent how do you build a {golden boots | Item}
RecipeIntent how can you craft a {flint | Item}
RecipeIntent how can you make a {raw porkchop | Item}
RecipeIntent how can you build a {cooked porkchop | Item}
RecipeIntent how do you craft a {painting | Item}
RecipeIntent how do you make a {golden apple | Item}
RecipeIntent how do you build an {enchanted golden apple | Item}
RecipeIntent whats the recipe for {bucket | Item}
RecipeIntent whats the recipe for a {water bucket | Item}
RecipeIntent whats the recipe for a {lava bucket | Item}
RecipeIntent what is the recipe for {minecart | Item}
RecipeIntent what is the recipe for a {saddle | Item}
RecipeIntent what is the recipe for a {snowball | Item}
RecipeIntent recipe for {boat | Item}
RecipeIntent recipe for a {leather | Item}
RecipeIntent recipe for a {milk bucket | Item}
RecipeIntent recipes for {sugar canes | Item}
RecipeIntent recipes for a {paper | Item}
RecipeIntent recipes for a {book | Item}
RecipeIntent what is in {slimeball | Item}
RecipeIntent what is in a {minecart with chest | Item}
RecipeIntent what is in a {minecart with furnace | Item}
RecipeIntent whats in {egg | Item}
RecipeIntent whats in a {compass | Item}
RecipeIntent whats in a {fishing rod | Item}
RecipeIntent what are the ingredients for {clock | Item}
RecipeIntent what are the ingredients for a {glowstone dust | Item}
RecipeIntent what are the ingredients for a {raw fish | Item}
RecipeIntent how is {raw salmon | Item} built
RecipeIntent how is a {clownfish | Item} built
RecipeIntent how is a {pufferfish | Item} built
RecipeIntent how is {cooked fish | Item} made
RecipeIntent how is a {cooked salmon | Item} made
RecipeIntent how is an {ink sack | Item} made
RecipeIntent how is {black dye | Item} crafted
RecipeIntent how is a {rose red | Item} crafted
RecipeIntent how is a {cactus green | Item} crafted
RecipeIntent what do I need for {cocoa | Item}
RecipeIntent what do I need for a {cocoa beans | Item}
RecipeIntent what do I need for a {purple dye | Item}
RecipeIntent what do you need for {cyan dye | Item}
RecipeIntent what do you need for a {light gray dye | Item}
RecipeIntent what do you need for a {gray dye | Item}
RecipeIntent what do I need to get for {pink dye | Item}
RecipeIntent what do I need to get for a {lime dye | Item}
RecipeIntent what do I need to get for a {dandelion yellow | Item}
RecipeIntent how can I get {light blue dye | Item}
RecipeIntent how do I get {magenta dye | Item}
RecipeIntent how can I get an {orange dye | Item}
RecipeIntent how do I get a {bone meal | Item}
RecipeIntent how can I get a {bone | Item}
RecipeIntent how do I get a {sugar | Item}
RecipeIntent how can you get {cake | Item}
RecipeIntent how do you get {bed | Item}
RecipeIntent how can you get a {cookie | Item}
RecipeIntent how do you get a {shears | Item}
RecipeIntent how can you get a {pumpkin seeds | Item}
RecipeIntent how do you get a {melon seeds | Item}
RecipeIntent what do I need to craft {raw beef | Item}
RecipeIntent what do I need to make {steak | Item}
RecipeIntent what do I need to build {raw chicken | Item}
RecipeIntent what do I need to craft a {cooked chicken | Item}
RecipeIntent what do I need to make a {rotten flesh | Item}
RecipeIntent what do I need to build an {ender pearl | Item}
RecipeIntent what do I need to craft a {blaze rod | Item}
RecipeIntent what do I need to make a {ghast tear | Item}
RecipeIntent what do I need to build a {gold nugget | Item}
RecipeIntent what ingredients do I need to craft {potion | Item}
RecipeIntent what ingredients do I need to make {glass bottle | Item}
RecipeIntent what ingredients do I need to build {spider eye | Item}
RecipeIntent what ingredients do I need to craft a {fermented spider eye | Item}
RecipeIntent what ingredients do I need to make a {blaze powder | Item}
RecipeIntent what ingredients do I need to build a {magma cream | Item}
RecipeIntent what ingredients do I need to craft an {eye of ender | Item}
RecipeIntent what ingredients do I need to make a {glistering melon | Item}
RecipeIntent what ingredients do I need to build a {fire charge | Item}
RecipeIntent what do I need to have to craft {book and quill | Item}
RecipeIntent what do I need to have to make {written book | Item}
RecipeIntent what do I need to have to build {item frame | Item}
RecipeIntent what do I need to have to craft a {carrot | Item}
RecipeIntent what do I need to have to make a {potato | Item}
RecipeIntent what do I need to have to build a {carrots | Item}
RecipeIntent what do I need to have to craft a {potatoes | Item}
RecipeIntent what do I need to have to make a {baked potato | Item}
RecipeIntent what do I need to have to build a {poisonous potato | Item}
RecipeIntent what do I need to get to craft {empty map | Item}
RecipeIntent what do I need to get to make {map | Item}
RecipeIntent what do I need to get to build {golden carrot | Item}
RecipeIntent what do I need to get to craft a {mob head | Item}
RecipeIntent what do I need to get to make a {skeleton mob head | Item}
RecipeIntent what do I need to get to build a {wither mob head | Item}
RecipeIntent what do I need to get to craft a {creeper mob head | Item}
RecipeIntent what do I need to get to make a {zombie mob head | Item}
RecipeIntent what do I need to get to build a {carrot on a stick | Item}
RecipeIntent how can I craft {nether star | Item}
RecipeIntent how can I make {pumpkin pie | Item}
RecipeIntent how can I build {firework rocket | Item}
RecipeIntent how do I craft {firework star | Item}
RecipeIntent how do I make {enchanted book | Item}
RecipeIntent how do I build {redstone comparator | Item}
RecipeIntent how can I craft a {nether brick | Item}
RecipeIntent how can I make a {nether quartz | Item}
RecipeIntent how can I build a {quartz | Item}
RecipeIntent how do I craft a {minecart with t.n.t | Item}
RecipeIntent how do I make a {minecart with hopper | Item}
RecipeIntent how do I build a {prismarine shard | Item}
RecipeIntent how can I craft a {prismarine crystals | Item}
RecipeIntent how can I make a {raw rabbit | Item}
RecipeIntent how can I build a {cooked rabbit | Item}
RecipeIntent how do I craft a {rabbit stew | Item}
RecipeIntent how do I make a {rabbit's foot | Item}
RecipeIntent how do I build a {rabbit hide | Item}
RecipeIntent how can you craft {armor stand | Item}
RecipeIntent how can you make {iron horse armor | Item}
RecipeIntent how can you build {golden horse armor | Item}
RecipeIntent how do you craft {diamond horse armor | Item}
RecipeIntent how do you make {lead | Item}
RecipeIntent how do you build {leash | Item}
RecipeIntent how can you craft a {name tag | Item}
RecipeIntent how can you make a {minecart with command block | Item}
RecipeIntent how can you build a {raw mutton | Item}
RecipeIntent how do you craft a {cooked mutton | Item}
RecipeIntent how do you make a {banner | Item}
RecipeIntent how do you build a {spruce door | Item}
RecipeIntent how can you craft a {birch door | Item}
RecipeIntent how can you make a {jungle door | Item}
RecipeIntent how can you build an {acacia door | Item}
RecipeIntent how do you craft a {dark oak door | Item}
RecipeIntent how do you make a {thirteen disc | Item}
RecipeIntent how do you build a {cat disc | Item}
RecipeIntent whats the recipe for {blocks disc | Item}
RecipeIntent whats the recipe for a {chirp disc | Item}
RecipeIntent whats the recipe for a {far disc | Item}
RecipeIntent what is the recipe for {mall disc | Item}
RecipeIntent what is the recipe for a {mellohi disc | Item}
RecipeIntent what is the recipe for a {stal disc | Item}
RecipeIntent recipe for {strad disc | Item}
RecipeIntent recipe for a {ward disc | Item}
RecipeIntent recipe for an {eleven disc | Item}
RecipeIntent recipes for {wait disc | Item}
RecipeIntent recipes for a {music disc | Item}
RecipeIntent recipes for an {iron golem | Item}
RecipeIntent what is in {snowman | Item}
RecipeIntent what is in a {snow golem | Item}
RecipeIntent what is in a {wither | Item}
RecipeIntent how to craft a {banner | Item}
RecipeIntent how to craft an {acacia door | Item}
RecipeIntent how to craft {diamond horse armor | Item}
RecipeIntent how to craft a {minecart with command block | Item}
RecipeIntent how to make a {banner | Item}
RecipeIntent how to make an {acacia door | Item}
RecipeIntent how to make {diamond horse armor | Item}
RecipeIntent how to make a {minecart with command block | Item}
RecipeIntent how to build a {banner | Item}
RecipeIntent how to build an {acacia door | Item}
RecipeIntent how to build {diamond horse armor | Item}
RecipeIntent how to build a {minecart with command block | Item}
RecipeIntent how to get a {banner | Item}
RecipeIntent how to get an {acacia door | Item}
RecipeIntent how to get {diamond horse armor | Item}
RecipeIntent how to get a {minecart with command block | Item}

HelpIntent help
HelpIntent help me
HelpIntent what can I ask you
HelpIntent get help
HelpIntent what commands can I ask
HelpIntent what commands can I say
HelpIntent what can I do
HelpIntent what can I use this for
HelpIntent what questions can I ask
HelpIntent what can you do
HelpIntent what do you do
HelpIntent how do I use you
HelpIntent how can I use you
HelpIntent what can you tell me
